name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Colombo, Western, Sri Lanka",2023-06-23,87.9,78.9,83.9,102.7,78.9,94.2,78.4,84.0,0.056,100.0,16.67,rain,0.0,0.0,22.8,13.9,215.2,1008.7,56.8,8.3,211.2,18.1,8.0,60.0,2023-06-23T05:57:03,2023-06-23T18:28:33,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-06-24,88.6,78.9,84.3,102.3,78.9,93.6,77.5,80.5,0.007,100.0,4.17,rain,0.0,0.0,23.3,13.9,225.9,1007.9,59.1,8.1,246.1,21.3,8.0,60.0,2023-06-24T05:57:17,2023-06-24T18:28:45,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-25,86.1,78.9,83.3,97.5,78.9,92.4,77.2,82.1,0.099,100.0,37.5,rain,0.0,0.0,25.3,21.9,230.0,1008.7,72.2,7.7,198.2,17.1,7.0,60.0,2023-06-25T05:57:30,2023-06-25T18:28:57,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-26,88.1,79.4,83.4,100.2,79.4,91.6,76.4,80.1,0.395,100.0,29.17,rain,0.0,0.0,26.4,15.0,241.8,1009.5,62.0,7.7,191.6,16.6,7.0,30.0,2023-06-26T05:57:44,2023-06-26T18:29:09,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,remote,43466099999"
"Colombo, Western, Sri Lanka",2023-06-27,87.9,77.1,81.5,100.2,77.1,87.9,76.7,85.7,0.98,100.0,45.83,rain,0.0,0.0,25.1,11.4,239.9,1010.0,51.8,8.1,184.6,16.0,7.0,30.0,2023-06-27T05:57:58,2023-06-27T18:29:20,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-28,87.9,77.1,82.4,100.2,77.1,89.1,77.0,84.3,0.165,100.0,8.33,rain,0.0,0.0,22.4,9.2,226.1,1010.8,47.7,8.1,242.3,20.9,8.0,30.0,2023-06-28T05:58:11,2023-06-28T18:29:31,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-06-29,86.3,78.9,82.0,99.7,78.9,89.0,77.2,85.7,1.277,100.0,33.33,rain,0.0,0.0,24.6,13.9,237.5,1011.2,69.0,8.7,199.1,17.2,7.0,60.0,2023-06-29T05:58:25,2023-06-29T18:29:41,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999,remote"
"Colombo, Western, Sri Lanka",2023-06-30,87.9,78.8,83.3,102.7,78.8,91.8,77.7,83.7,0.004,100.0,4.17,rain,0.0,0.0,22.6,12.8,226.3,1010.7,65.9,8.5,207.4,17.9,9.0,60.0,2023-06-30T05:58:39,2023-06-30T18:29:51,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43450099999,43467099999,43486099999,remote,43466099999"
"Colombo, Western, Sri Lanka",2023-07-01,87.9,81.2,84.4,102.9,89.9,95.9,78.5,82.7,0.155,100.0,20.83,rain,0.0,0.0,25.1,15.0,222.5,1010.4,60.1,8.0,201.3,17.5,7.0,30.0,2023-07-01T05:58:53,2023-07-01T18:30:00,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43466099999"
"Colombo, Western, Sri Lanka",2023-07-02,87.9,80.7,84.0,102.7,88.4,95.3,78.6,84.0,0.467,100.0,41.67,rain,0.0,0.0,24.6,12.8,234.0,1009.5,79.4,7.8,139.8,11.9,5.0,30.0,2023-07-02T05:59:07,2023-07-02T18:30:09,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43466099999"
